Took,Over,Draft Round,Edge,Result,Account
Barbarian Hut,Three Musketeers,2,-0.153,Loss,#9RG0VPUVY
Tesla,Executioner,1,-0.153,Loss,#9RG0VPUVY
P.E.K.K.A,Princess,2,-0.151,Win,#9RG0VPUVY
Inferno Tower,Elite Barbarians,1,-0.151,Win,#9RG0VPUVY
Tesla,Dart Goblin,3,-0.150,Win,#9RG0VPUVY
Barbarian Hut,Firecracker,4,-0.150,Loss,#9RQ8YRYQL
Royal Delivery,Rascals,3,-0.143,Win,#9RG0VPUVY
Royal Delivery,Rascals,1,-0.143,Win,#9RG0VPUVY
P.E.K.K.A,Rascals,2,-0.142,Win,#9RG0VPUVY
P.E.K.K.A,Rascals,4,-0.142,Loss,#9RG0VPUVY
Ronin,Mortar,4,-0.138,Win,#9RG0VPUVY
Knight,Goblin Hut,1,-0.136,Win,#9RG0VPUVY
Zap,Zappies,3,-0.134,Win,#9RG0VPUVY
Furnace,Barbarian Barrel,1,-0.133,Win,#9RG0VPUVY
Furnace,Barbarian Barrel,1,-0.133,Loss,#9RG0VPUVY
Elite Barbarians,Heal Spirit,2,-0.132,Loss,#9RG0VPUVY
Inferno Tower,Rage,4,-0.130,Win,#9RG0VPUVY
Barbarian Hut,Electro Spirit,3,-0.128,Win,#9RG0VPUVY
Elixir Golem,Rage,4,-0.126,Loss,#9RG0VPUVY
Mother Witch,Berserker,1,-0.125,Win,#9RG0VPUVY
Berserker,Furnace,4,-0.125,Loss,#9RG0VPUVY
Valkyrie,Executioner,1,-0.124,Loss,#9RG0VPUVY
Graveyard,Poison,1,-0.123,Win,#9RG0VPUVY
Mortar,Princess,2,-0.121,Win,#9RQ8YRYQL
Mega Knight,Witch,4,-0.121,Win,#9RG0VPUVY
Tombstone,Witch,2,-0.120,Loss,#9RG0VPUVY
Tombstone,Witch,4,-0.120,Win,#9RG0VPUVY
Poison,Goblin Demolisher,4,-0.119,Win,#9RG0VPUVY
P.E.K.K.A,Baby Dragon,2,-0.119,Loss,#9RG0VPUVY
Bandit,Princess,2,-0.119,Loss,#9RG0VPUVY
